Pipe_Size_mm,Thickness_mm,Material,Grade,Max_Pressure_psi,Temperature_C,Corrosion_Impact_Percent,Thickness_Loss_mm,Material_Loss_Percent,Time_Years,Condition,Failure_Risk,Inspection_Cost,Repair_Cost,Downtime,Recommended_Action
800,15.48,Carbon Steel,ASTM A333 Grade 6,300,84.9,16.04,4.91,31.72,2,Moderate,0.3745401188473625,511,12373,9,Monitor
800,22.0,PVC,ASTM A106 Grade B,150,14.1,7.38,7.32,33.27,4,Critical,0.9507143064099162,1841,10907,1,Immediate Repair
400,12.05,Carbon Steel,API 5L X52,2500,0.6,2.12,6.32,52.45,7,Critical,0.7319939418114051,715,11097,8,Immediate Repair
1500,38.72,Carbon Steel,API 5L X42,1500,52.7,5.58,6.2,16.01,19,Critical,0.5986584841970366,838,17553,4,Schedule Inspection
1500,24.32,HDPE,API 5L X65,1500,11.7,12.29,8.58,35.28,20,Critical,0.15601864044243652,1160,10656,9,Monitor
600,16.75,Fiberglass,API 5L X52,600,67.3,2.06,5.21,31.1,11,Critical,0.15599452033620265,1604,15177,5,Monitor
200,9.94,Carbon Steel,ASTM A106 Grade B,1500,89.6,1.34,5.86,58.95,6,Critical,0.05808361216819946,873,13984,3,Monitor
300,13.87,Carbon Steel,ASTM A106 Grade B,900,40.8,5.57,3.02,21.77,21,Moderate,0.8661761457749352,1475,19588,9,Immediate Repair
150,8.86,Fiberglass,API 5L X65,300,3.2,13.84,2.47,27.88,19,Moderate,0.6011150117432088,1209,18600,9,Schedule Inspection
800,25.78,Stainless Steel,ASTM A333 Grade 6,150,11.6,18.68,0.53,2.06,1,Normal,0.7080725777960455,1723,9259,4,Immediate Repair
300,11.52,Stainless Steel,ASTM A333 Grade 6,900,100.4,12.23,8.8,76.39,13,Critical,0.020584494295802447,965,13286,4,Monitor
1000,20.58,PVC,API 5L X65,900,67.5,14.33,7.32,35.57,6,Critical,0.9699098521619943,1612,10901,8,Immediate Repair
300,13.03,Stainless Steel,ASTM A106 Grade B,600,9.7,14.93,0.85,6.52,6,Normal,0.8324426408004217,1791,14325,2,Immediate Repair
150,5.19,HDPE,ASTM A333 Grade 6,300,43.6,16.02,6.12,117.92,13,Critical,0.21233911067827616,988,19671,9,Monitor
300,15.48,Carbon Steel,API 5L X42,600,63.4,13.65,9.21,59.5,7,Critical,0.18182496720710062,546,9917,6,Monitor
100,6.0,Fiberglass,API 5L X65,1500,60.1,18.79,7.01,116.83,21,Critical,0.18340450985343382,1811,13429,9,Monitor
600,10.56,Stainless Steel,ASTM A106 Grade B,1500,145.1,11.2,1.61,15.25,8,Normal,0.3042422429595377,1277,19716,8,Monitor
300,10.87,PVC,ASTM A333 Grade 6,900,63.9,10.99,0.04,0.37,18,Normal,0.5247564316322378,1539,16138,7,Schedule Inspection
100,7.21,PVC,ASTM A106 Grade B,600,13.6,4.51,3.16,43.83,22,Moderate,0.43194501864211576,1210,7530,1,Schedule Inspection
100,5.49,Carbon Steel,API 5L X42,900,52.6,16.25,4.23,77.05,13,Moderate,0.2912291401980419,900,6960,3,Monitor
300,11.14,Stainless Steel,ASTM A106 Grade B,900,33.0,16.23,9.67,86.8,24,Critical,0.6118528947223795,1480,12045,2,Schedule Inspection
100,5.68,Carbon Steel,ASTM A106 Grade B,1500,45.3,12.17,7.59,133.63,10,Critical,0.13949386065204183,1609,6048,5,Monitor
1000,32.89,Stainless Steel,ASTM A333 Grade 6,600,56.9,4.01,0.84,2.55,7,Normal,0.29214464853521815,749,10772,5,Monitor
250,12.89,Carbon Steel,ASTM A106 Grade B,300,145.6,2.45,4.19,32.51,16,Moderate,0.3663618432936917,890,7529,5,Monitor
1000,32.87,Stainless Steel,ASTM A333 Grade 6,600,21.6,17.26,8.39,25.52,3,Critical,0.45606998421703593,834,7964,4,Schedule Inspection
1500,28.73,HDPE,ASTM A106 Grade B,300,117.3,4.55,1.97,6.86,12,Normal,0.7851759613930136,1128,12137,5,Immediate Repair
100,4.62,HDPE,API 5L X42,1500,52.5,16.62,1.79,38.74,3,Normal,0.19967378215835974,636,5963,3,Monitor
